Zip Code,Number of Customers
22790,142
24220,124
22793,121
24230,117
22775,110
29101,101
13212,95
35162,93
22631,89
38400,87
35500,86
36570,84
37200,83
13214,82
11030,81
11740,80
11065,80
28970,77
11680,76
13087,76
7600,75
20540,74
20541,74
29102,73
36400,73
24210,72
20550,72
39400,71
22795,71
35700,71
11075,70
38408,68
13060,68
22753,67
37701,67
30140,66
20520,65
88330,65
30130,65
36900,65
35900,63
38600,63
13050,63
13070,63
22250,61
13820,60
21321,60
24240,60
33400,59
41830,58
13040,58
35400,57
22451,56
9371,56
22290,56
30320,55
22710,55
13348,55
38610,54
90010,54
29090,54
35300,54
22230,53
37550,53
12243,53
20551,53
30190,53
15600,53
39401,52
11702,52
11070,52
30310,52
98700,52
21330,52
11045,51
22780,51
35519,51
22750,51
30575,51
22743,51
30150,50
20260,50
22770,50
11900,50
29055,50
20720,50
30170,50
18550,50
30380,49
20560,49
11250,49
22260,49
20230,49
31330,48
22240,48
30441,48
71680,48
12233,47
11700,47
89560,47
28300,47
11025,47
20511,46
12246,46
13140,46
11630,46
6900,46
22231,45
11015,45
24110,45
33200,45
22783,45
6454,45
22723,45
22270,45
11750,44
35790,44
20270,44
35680,44
88058,44
13290,44
88220,44
14403,44
6730,44
13295,44
13720,44
80240,44
29060,43
13160,43
14020,43
22221,43
41810,43
88034,43
13560,43
20271,42
20521,42
11040,42
51020,42
35160,42
11730,42
20510,42
21230,42
20261,42
13056,42
39270,42
37410,42
11055,42
30431,42
6765,42
13480,41
9820,41
87020,41
13211,41
22450,41
36420,41
30421,41
31170,41
12230,41
9910,41
35430,40
99010,40
13272,40
35701,40
45810,40
33600,40
11060,40
37640,40
89900,40
13190,40
31270,40
13054,39
11704,39
97015,39
80250,39
57035,39
6700,39
13084,39
11320,39
21931,39
80730,39
9725,39
35600,39
12120,38
9090,38
15400,38
46430,38
30411,38
22410,38
11701,38
9540,38
13219,38
95555,38
20031,38
6414,38
88015,37
13201,37
13092,37
70673,37
11035,37
20040,37
21235,37
13044,37
35930,37
13280,37
24120,37
39402,37
18530,37
37800,37
27700,37
28893,37
30180,37
28035,37
30160,37
22470,37
20735,37
38401,36
93700,36
36010,36
24350,36
22713,36
37500,36
22620,36
13330,36
35164,36
14790,36
47850,36
17800,36
30350,36
13218,36
75690,36
13920,36
37950,36
13178,36
8290,36
65075,36
12236,36
15775,35
80030,35
13150,35
18055,35
36500,35
22430,35
13360,35
45400,35
26600,35
13500,35
18900,35
95520,35
37540,35
24030,35
20950,35
4140,35
22251,35
80060,34
22210,34
28895,34
21020,34
26255,34
13206,34
30330,34
13405,34
89801,34
24020,34
15910,34
14600,34
88780,34
37470,34
28625,34
9895,34
9060,34
12242,33
90020,33
13145,33
35420,33
13083,33
6020,33
29175,33
41720,33
14090,33
86050,33
80050,33
99700,33
23075,33
5145,33
20530,33
31030,33
13175,33
22461,33
6764,33
15900,33
